start,end,today,deviceid,state,lgaa,wards,farmer-sex,age,type-farming,crops-grown,crops-grown/cassava,crops-grown/maize,crops-grown/cocoa,crops-grown/plantain,crops-grown/kolanut,crops-grown/oil-palm,crops-grown/cashew,crops-grown/banana,crops-grown/yam,crops-grown/pineapple,crops-grown/vegetables,farm_gps,_farm_gps_latitude,_farm_gps_longitude,_farm_gps_altitude,_farm_gps_precision,owner_ship,farm_seedling,farm_seed,seedling_name,cultivation_practiced,fertilizer_practice,fertilizer_yes/fertilizer-type,size-farm-plot,cooperative_part,experience,start_date_of_planting,end_date_of_planting,highest_quantity,proposed_sell,previous_harvested,lowest_quantity,amount_sold,means_buy_sell,access-internet,access-water,access-storage,store_yes/storage-facility,sell-produce,market_sell_buy,marketing-product,yield-price,standard-living,farm-sense,farm-picture,data-collector,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index,_tags,_notes,_version,_duration,_submitted_by,_xform_id
2018-12-24T09:48:05.144+01,2018-12-24T22:21:17.556+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_1,male,45,commercial,vegetables,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7.34766697169104 5.009178922348497 329.4569381102998 4.0,7.347666972,5.009178922,329.4569381,4,rentage,company,yes,ADP,continous,no,,unit-50-100,yes,12,10/3/2018,11/20/2018,1,40000,2,80000,68000,not_satisfied,no,no,no,,open_market,Sasa,yes,agree,agree,disagree,http://classic.ona.io/api/v1/files/10566574?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545641947358.jpg,awoniyi_rugayah,uuid:f76aa3f7-7705-4a04-92e9-4bfe72f10f1f,39238781,f76aa3f7-7705-4a04-92e9-4bfe72f10f1f,12/24/2018 21:36,11,,-1,,,2.01812E+11,45192,denironyx,369774
2018-12-24T09:37:18.851+01,2018-12-24T22:19:57.723+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_1,male,35,commercial,vegetables,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7.348325322853467 5.007634837687604 337.5915345008114 6.0,7.348325323,5.007634838,337.5915345,6,own,self_made,yes,,continous,no,,unit-100-100,no,11,4/8/2018,7/3/2018,2,150000,3,200000,170000,not_satisfied,no,yes,no,,open_market,Owena,yes,disagree,agree,disagree,http://classic.ona.io/api/v1/files/10566575?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545641128618.jpg,awoniyi_rugayah,uuid:b54159fa-16c9-48a7-84e6-d21d9b52b0d2,39238828,b54159fa-16c9-48a7-84e6-d21d9b52b0d2,12/24/2018 21:40,12,,-1,,,2.01812E+11,45759,denironyx,369774
2018-12-24T10:03:03.322+01,2018-12-24T22:23:35.246+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_1,male,42,commercial,vegetables,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7.347554096005075 5.011172266178974 340.04869846245606 8.0,7.347554096,5.011172266,340.0486985,8,rentage,company,yes,ADP,continous,no,,unit-100-100,yes,12,10/4/2018,1/28/2019,3,180000,2,150000,120000,not_satisfied,no,no,no,,off_takers,,yes,agree,agree,disagree,http://classic.ona.io/api/v1/files/10566576?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545642556261.jpg,awoniyi_rugayah,uuid:1ccc6129-9424-4b61-b7ab-c8811ca2fad9,39238832,1ccc6129-9424-4b61-b7ab-c8811ca2fad9,12/24/2018 21:41,13,,-1,,,2.01812E+11,44432,denironyx,369774
2018-12-24T15:25:59.734+01,2018-12-24T22:26:13.940+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_1,male,39,commercial,plantain,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.372579698994544 5.042568740916828 351.9285839098086 16.0,7.372579699,5.042568741,351.9285839,16,rentage,self_made,yes,,continous,no,,unit-50-100,no,4,3/24/2016,9/24/2017,1,60000,1,80000,72000,not_satisfied,no,yes,no,,off_takers,,yes,disagree,agree,disagree,http://classic.ona.io/api/v1/files/10566577?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545662029463.jpg,awoniyi_rugayah,uuid:f07fb686-6c6a-49a4-b33d-7791e0f0f476,39238833,f07fb686-6c6a-49a4-b33d-7791e0f0f476,12/24/2018 21:41,14,,-1,,,2.01812E+11,25214,denironyx,369774
2018-12-24T17:26:43.999+01,2018-12-24T21:34:52.560+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_1,male,28,commercial,cocoa,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.37191001022487 5.043864509594546 384.1346574585885 8.0,7.37191001,5.04386451,384.1346575,8,own,self_made,yes,,continous,no,,unit-100-100,no,6,6/2/2014,1/24/2019,2,1500000,1,800000,700000,satisfied,no,yes,no,,off_takers,,yes,agree,agree,agree,http://classic.ona.io/api/v1/files/10566578?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545669392774.jpg,awoniyi_rugayah,uuid:27c60449-aae8-4a2a-9c1a-9e74f702991a,39238834,27c60449-aae8-4a2a-9c1a-9e74f702991a,12/24/2018 21:42,15,,-1,,,2.01812E+11,14889,denironyx,369774
2018-12-24T17:39:08.761+01,2018-12-24T21:34:12.048+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_1,male,28,commercial,kolanut,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.370283658814337 5.0445088167916365 334.0694878399679 32.0,7.370283659,5.044508817,334.0694878,32,own,self_made,yes,,continous,no,,unit-100-100,no,6,2/24/2015,12/24/2020,4,800000,4,1000000,700000,very_satisfied,no,yes,no,,off_takers,,yes,disagree,agree,disagree,http://classic.ona.io/api/v1/files/10566579?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545669913127.jpg,awoniyi_rugayah,uuid:6382e837-9145-4900-91a8-271c0ebbf1ab,39238836,6382e837-9145-4900-91a8-271c0ebbf1ab,12/24/2018 21:42,16,,-1,,,2.01812E+11,14104,denironyx,369774
2018-12-24T09:22:21.247+01,2018-12-24T14:35:10.074+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_1,male,48,commercial,cassava,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.350775506926963 5.02754695469595 320.26422974634386 16.0,7.350775507,5.027546955,320.2642297,16,rentage,self_made,yes,,shifting,no,,unit-100-100,no,25,3/6/2017,4/3/2019,18,450000,238000,450000,270000,not_satisfied,no,sometimes,no,,weekly_market,Owena and igbaraoke Market,yes,agree,agree,agree,http://classic.ona.io/api/v1/files/10567509?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545641487233.jpg,akindele_mutiu,uuid:96eb2ab7-d60c-425e-b538-b8539160675b,39242674,96eb2ab7-d60c-425e-b538-b8539160675b,12/25/2018 9:00,17,,-1,,,2.01812E+11,18769,denironyx,369774
2018-12-24T10:27:16.110+01,2018-12-24T14:59:33.332+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_1,male,29,commercial,cassava,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.355894166662164 5.023425456759431 360.4493003413436 6.0,7.355894167,5.023425457,360.4493003,6,rentage,self_made,yes,,continous,yes,inorganic,unit-200-100,yes,10,3/8/2018,5/24/2019,25,675000,288000,486000,324000,not_satisfied,no,sometimes,no,,weekly_market,Owens and igbaraoke,yes,agree,agree,agree,http://classic.ona.io/api/v1/files/10567520?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545644820796.jpg,akindele_mutiu,uuid:efbe7ccc-6a96-4d62-815a-8e9c197a7dbb,39242691,efbe7ccc-6a96-4d62-815a-8e9c197a7dbb,12/25/2018 9:03,18,,-1,,,2.01812E+11,16337,denironyx,369774
2018-12-24T10:48:37.313+01,2018-12-24T22:47:53.111+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_1,male,30,commercial,cassava,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.356550293793398 5.022908195165258 345.65457422835897 16.0,7.356550294,5.022908195,345.6545742,16,rentage,company,yes,Matner,shifting,no,,unit-200-100,no,10,6/13/2017,12/24/2019,26,702000,360000,486000,270000,not_satisfied,yes,yes,no,,weekly_market,Owena Market,yes,agree,strongly_agree,agree,http://classic.ona.io/api/v1/files/10567527?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545645560978.jpg,akindele_mutiu,uuid:cdb982cf-39aa-48b1-93c4-6607a74e0000,39242700,cdb982cf-39aa-48b1-93c4-6607a74e0000,12/25/2018 9:05,19,,-1,,,2.01812E+11,43156,denironyx,369774
2018-12-24T11:00:28.638+01,2018-12-24T15:09:10.222+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_1,male,42,commercial,cassava,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.356655670946059 5.0225905062613005 347.7514372865355 8.0,7.356655671,5.022590506,347.7514373,8,rentage,self_made,yes,,shifting,no,,unit-100-100,no,6,5/26/2018,5/13/2019,17,459000,280000,400000,256000,not_satisfied,no,yes,no,,weekly_market,Igbaraoke market,yes,strongly_agree,agree,agree,http://classic.ona.io/api/v1/files/10567533?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545646173385.jpg,akindele_mutiu,uuid:6a4d18e3-3d11-41fb-9156-c49406a37820,39242707,6a4d18e3-3d11-41fb-9156-c49406a37820,12/25/2018 9:06,20,,-1,,,2.01812E+11,14922,denironyx,369774
2018-12-24T15:49:08.809+01,2018-12-24T22:23:59.414+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_1,male,50,commercial,plantain,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.372483319033479 5.0428090610047525 347.18366460336733 32.0,7.372483319,5.042809061,347.1836646,32,own,company,yes,IITA Ibadan,continous,no,,unit-120-120,no,15,5/24/2011,12/24/2018,8,650000,280000,650000,260000,not_satisfied,no,sometimes,no,,off_takers,,yes,agree,agree,agree,http://classic.ona.io/api/v1/files/10567535?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545663282199.jpg,akindele_mutiu,uuid:34cd2a3a-34b0-4d99-8f41-94d62aa3d903,39242711,34cd2a3a-34b0-4d99-8f41-94d62aa3d903,12/25/2018 9:06,21,,-1,,,2.01812E+11,23691,denironyx,369774
2018-12-24T08:55:47.800+01,2018-12-25T10:10:55.134+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_1,male,58,commercial,cassava,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.353406794755079 5.0222649926862415 341.6445636702321 16.0,7.353406795,5.022264993,341.6445637,16,rentage,self_made,yes,,continous,yes,organic,unit-200-200,no,35,3/8/2017,3/24/2017,35,630000,400000,500000,400000,not_satisfied,no,sometimes,no,,weekly_market,Igbaraoke Market,yes,agree,agree,agree,http://classic.ona.io/api/v1/files/10567617?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545639229705.jpg,akindele_mutiu,uuid:588fb6fa-e8aa-4b4f-9884-91c5be5d5666,39243003,588fb6fa-e8aa-4b4f-9884-91c5be5d5666,12/25/2018 9:28,22,,-1,,,2.01812E+11,90908,denironyx,369774
2018-12-24T15:59:44.153+01,2018-12-25T10:11:57.055+01,12/24/2018,3.51696E+14,ON,ifedore,igbaraoke_1,male,50,commercial,plantain,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.372584221582072 5.042938364474477 375.9241816444741 32.0,7.372584222,5.042938364,375.9241816,32,rentage,open-market,yes,,continous,no,,unit-100-100,no,15,12/24/2014,11/23/2018,6,490000,250000,450000,350000,not_satisfied,no,sometimes,no,,weekly_market,Owena market,yes,agree,agree,agree,http://classic.ona.io/api/v1/files/10567623?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545664125369.jpg,akindele_mutiu,uuid:026c5273-105f-42b0-ba65-3652a0d4d83d,39243020,026c5273-105f-42b0-ba65-3652a0d4d83d,12/25/2018 9:31,23,,-1,,,2.01812E+11,65533,denironyx,369774
2018-12-24T17:04:37.906+01,2018-12-25T10:11:40.800+01,12/24/2018,3.51696E+14,ON,ifedore,ijare_1,male,30,commercial,plantain,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.3726894016592395 5.0429831840273875 335.8802917186628 8.0,7.372689402,5.042983184,335.8802917,8,rentage,self_made,yes,,continous,no,,unit-100-100,no,4,12/24/2016,10/15/2018,5,320000,160000,300000,180000,not_satisfied,no,sometimes,no,,off_takers,,yes,agree,agree,disagree,http://classic.ona.io/api/v1/files/10567624?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545667981525.jpg,akindele_mutiu,uuid:0443c087-023c-4431-a62b-ef00a209cee5,39243024,0443c087-023c-4431-a62b-ef00a209cee5,12/25/2018 9:31,24,,-1,,,2.01812E+11,61623,denironyx,369774
2018-12-26T10:44:45.484+01,2018-12-26T21:11:08.234+01,12/26/2018,3.51696E+14,ON,ifedore,igbaraoke_1,male,43,commercial,cassava,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.371468662768424 5.043509772734644 375.43482565317044 8.0,7.371468663,5.043509773,375.4348257,8,own,self_made,yes,,continous,no,,unit-100-100,no,12,8/30/2015,7/30/2020,3,350000,2,300000,270000,satisfied,no,no,no,,off_takers,,yes,agree,agree,agree,http://classic.ona.io/api/v1/files/10573278?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545818565343.jpg,awoniyi_rugayah,uuid:712adc69-ab68-4198-9774-b5a55599ca53,39282488,712adc69-ab68-4198-9774-b5a55599ca53,12/26/2018 21:13,25,,-1,,,2.01812E+11,37583,denironyx,369774
2018-12-26T10:54:00.692+01,2018-12-26T21:12:48.457+01,12/26/2018,3.51696E+14,ON,ifedore,igbaraoke_1,female,39,commercial,cocoa,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.371675084717478 5.042948108107413 415.1871905991185 8.0,7.371675085,5.042948108,415.1871906,8,own,self_made,yes,,continous,no,,unit-100-100,no,15,6/17/2011,12/26/2019,2,1400000,2,1500000,1600000,very_satisfied,no,sometimes,no,,off_takers,,yes,agree,agree,disagree,http://classic.ona.io/api/v1/files/10573283?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545818357784.jpg,awoniyi_rugayah,uuid:ffb9bdb1-2bd3-43ca-89da-10b179c038aa,39282528,ffb9bdb1-2bd3-43ca-89da-10b179c038aa,12/26/2018 21:18,26,,-1,,,2.01812E+11,37128,denironyx,369774
2018-12-26T13:01:33.683+01,2018-12-26T21:22:32.221+01,12/26/2018,3.51696E+14,ON,ifedore,igbaraoke_1,male,20,commercial,kolanut,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.371668143134202 5.044071911286522 364.80029151357536 12.0,7.371668143,5.044071911,364.8002915,12,own,self_made,yes,,mixed,no,,unit-100-100,no,6,4/14/2016,2/5/2021,3,500000,4,800000,850000,very_satisfied,no,sometimes,no,,off_takers,,yes,agree,agree,disagree,http://classic.ona.io/api/v1/files/10573286?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545826069547.jpg,awoniyi_rugayah,uuid:6f495e41-dad4-4e43-a8e2-bf744db60efd,39282535,6f495e41-dad4-4e43-a8e2-bf744db60efd,12/26/2018 21:18,27,,-1,,,2.01812E+11,30059,denironyx,369774
2018-12-26T13:21:35.701+01,2018-12-26T21:28:06.220+01,12/26/2018,3.51696E+14,ON,ifedore,igbaraoke_1,male,42,commercial,plantain,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.371759133594398 5.044152255518072 357.1295105539363 16.0,7.371759134,5.044152256,357.1295106,16,rentage,self_made,yes,,continous,no,,unit-100-100,no,5,4/26/2017,3/5/2018,3,240000,3,250000,210000,not_satisfied,no,yes,no,,off_takers,,yes,agree,strongly_agree,agree,http://classic.ona.io/api/v1/files/10573289?filename=denironyx/attachments/369774_checklist_for_farmsense_data_collection/1545827029452.jpg,awoniyi_rugayah,uuid:b50bdc4e-1c32-4e64-84f8-7070263cd5c5,39282540,b50bdc4e-1c32-4e64-84f8-7070263cd5c5,12/26/2018 21:20,28,,-1,,,2.01812E+11,29191,denironyx,369774
